Text,DisplayName,Username,Timestamp,Link
"gog使わないの？","てる@プロンプトマフィア","@rute1203d","2026-02-20T05:44:15.000Z","https://x.com/rute1203d/status/2024721742439358780"
"速報: AI はマッキンゼーのシニア アナリストのように (無料で) データを分析できるようになりました。  ここでは、年間 18 万ドルのデータサイエンティストを置き換える 10 の非常識なクロードのプロンプトを紹介します (後で保存します)","基島隆蔵 | ミエルAI - AI検索で見つかるブランドへ","@mieru_ai_com","2026-02-19T14:00:05.000Z","https://x.com/mieru_ai_com/status/2024484135495217619"
"","まじん","@Majin_AppSheet","2026-02-19T21:37:02.000Z","https://x.com/Majin_AppSheet/status/2024599131663323501"
"反応無ければ静かに消します笑","林拓海｜株式会社honkoma代表","@moriyorihayash1","2026-02-19T12:07:24.000Z","https://x.com/moriyorihayash1/status/2024455779089338746"
"【速報】Claude Code最大の弱点を克服するツールが登場しました。  その名は「Claude-Mem」。セッションをまたいでClaudeに永続的なメモリ（記憶）を持たせることが可能です。  - トークン消費量を最大95%削減 - 制限に達するまでのツール呼び出し回数が20倍に","基島隆蔵 | ミエルAI - AI検索で見つかるブランドへ","@mieru_ai_com","2026-02-19T06:23:24.000Z","https://x.com/mieru_ai_com/status/2024369204665913683"
"弊社のバックオフィスメンバーが、Claude Codeを使って確変起こしてます。  noteに一部始終まとめてもらいましたので、ご覧ください。","ふぁど","@fadysan_rh","2026-02-16T05:26:02.000Z","https://x.com/fadysan_rh/status/2023267608406184091"
"まってやばい。  このSkills使えばガチで アプリのアップデート作業が 1/10になったんだけどwwwwww  これ公開していいの？","そら  AgentSkills 自動化オタク","@sora19ai","2026-02-17T08:56:24.000Z","https://x.com/sora19ai/status/2023682936596557878"
"スキル設計で大事なのは、「具体の手順」と「抽象の判断軸」を両方書くこと。単なるToDoリストしか書かれていない http:// SKILL.mdは、ちょっと賢いマクロと変わらない。逆に抽象論だけだとAIが動けない。だから僕は、6色ハット思考とか、レイヤー分けのフレームを混ぜて「どの視点で」「どの順","そら  AgentSkills 自動化オタク","@sora19ai","2026-02-15T01:01:18.000Z","https://x.com/sora19ai/status/2022838595984244773"
"","かつきデザイン×AI×事業作り","@ktknd","2026-02-16T23:31:52.000Z","https://x.com/ktknd/status/2023540865357258833"
"","梶谷健人","@kajikent","2026-02-17T02:42:47.000Z","https://x.com/kajikent/status/2023588912002941418"
"「Skills＝上級者向け」と思われがちだけど、実は逆で“思考を言語化するのが苦手な人ほど”早めに触った方がいい。自分の中の「なんかうまくいくやり方」を分解して書こうとすると、今まで感覚でやってた部分が全部炙り出される。これがそのまま自己理解になるし、AIに任せられる範囲も見えてくる。スキ","そら  AgentSkills 自動化オタク","@sora19ai","2026-02-16T22:00:44.000Z","https://x.com/sora19ai/status/2023517932341330130"
"","ぬけみち｜AI×トレード","@xauxbt","2026-02-16T11:37:41.000Z","https://x.com/xauxbt/status/2023361133055471742"
"これ知らないとヤバいです。AntigravityのMCP連携がエグすぎる。しかもNotebookLM用のMCPサーバーまで出た。  この2つを知ってるかどうかで、AIの使い方が根本から変わる。まだ気づいてない人、マジで見てくれ！詳しくはリプで解説するぞ！","まな｜AI×コンテンツビジネスの極意","@ADHDHSP249834","2026-02-16T12:29:12.000Z","https://x.com/ADHDHSP249834/status/2023374098966196617"
"Claude Codeのトークン消費量が異常に激しかったのでログをプロファイリングして分析しました  スキル呼び出しを連発すると、コンテキストのフォークによってキャッシュ読み取りが発生し、それがトークンを食いまくっていることが判明","gohan","@grandchildrice","2026-02-16T13:19:12.000Z","https://x.com/grandchildrice/status/2023386681039266149"
"","klöss","@kloss_xyz","2026-02-01T23:01:15.000Z","https://x.com/kloss_xyz/status/2018097344345223455"
"【速報】これは見逃したらダメ  Anthropicが「ClaudeのSkills完全ガイド」をPDF33枚で公式公開  今まで： 「どうプロンプトを書くか？」 これから：  「AIをどう“仕組みとして動かすか？」  Anthropicが示した答えが Skills。 ・Skills = プロンプトじゃない ・一度作れば何度でも使える","Aircle｜学生AIコミュニティ","@AiAircle34052","2026-02-15T02:24:56.000Z","https://x.com/AiAircle34052/status/2022859641525604619"
"ぶっちゃけClaude Code全く使い方わかってない  まとめるとこんな感じ？？？  ◼︎プロジェクトの規約・ワークフローを伝える →  http:// CLAUDE.md / rules/  ◼︎繰り返し使うコマンドを定義する → スキル  ◼︎学んだパターンを自動蓄積する → オートメモリ  ◼︎外部サービスと連携する →","Taishi | X自動化ハッカー","@taishiyade","2026-02-14T13:00:54.000Z","https://x.com/taishiyade/status/2022657301430100013"
"","コンドウハルキ｜Harukaze","@halukik_0520","2026-02-13T15:38:51.000Z","https://x.com/halukik_0520/status/2022334661314396475"
"【 新登場 】 24時間365日稼働するAIエージェントが Manus に出現しました。  そして、注目すべきは最下部。","KAWAI","@kawai_design","2026-02-14T04:20:46.000Z","https://x.com/kawai_design/status/2022526407042322681"
"この記事めっちゃいい。  Claude Codeの最新動向まとまってて、一気にキャッチアップできる。","A7.｜データサイエンス・AI","@A7_data","2026-02-14T11:01:00.000Z","https://x.com/A7_data/status/2022627127217009034"
"","テツメモ｜AI図解×検証｜Newsletter","@tetumemo","2026-02-09T19:28:31.000Z","https://x.com/tetumemo/status/2020942907918909493"
"Claude Code の公式ドキュメント  Ask Docs があって、対話しながら最新の Claude Code について、質問ベースで学べることを僕達はまだ知らない。  https:// platform.claude.com/docs/en/home","ぬこぬこ | NUKO","@nukonuko","2026-02-13T07:55:52.000Z","https://x.com/nukonuko/status/2022218149358350432"
"","少し明るい高橋くん","@chankostin","2026-02-11T07:44:29.000Z","https://x.com/chankostin/status/2021490508586156127"
"","大野修平公認会計士GPT門下生","@Shuhei_Ohno","2026-02-09T04:27:47.000Z","https://x.com/Shuhei_Ohno/status/2020716233822437669"
"","長谷川｜Levela CTO","@taichi_we","2026-02-07T03:01:14.000Z","https://x.com/taichi_we/status/2019969673949798900"
"Claude Codeを無料で学べる講座が公開。  2時間19分でスキル設計をマスターできます。 内容は英語ですが、文字起こしもあるので、翻訳しながら学べます。  【学習内容】 ・コード生成/レビュー、データ分析、リサーチ用カスタムスキルの作成","チャエン | デジライズ CEO《重要AIニュースを毎日最速で発信》","@masahirochaen","2026-02-03T05:20:35.000Z","https://x.com/masahirochaen/status/2018555192107778544"
